filename,chemical_formula
ABAVIJ_clean.cif,Co4H32C48N8O16
ABAYIO_clean.cif,O192Mn48Cl48C288H96
ABAYOU_clean.cif,O192Co48Cl48C288H96
ABEFUL_clean.cif,C88H48O24Tb2S8N8
ABESUX_clean.cif,U20P16O64
ABETAE_clean.cif,U20P16O64
ABETIN_clean.cif,N64C416H288Cu16
ABEXEM_clean.cif,La8H16C56N16O48
ABEXEN_clean.cif,O96C240H120In12S12
ABEXIQ_clean.cif,Ce8H16C56N16O48
ABEXOW_clean.cif,Pr8H16C56N16O48
ABEXUC_clean.cif,Nd8H16C56N16O48
ABEYAJ_clean.cif,Sm8H16C56N16O48
ABEYEN_clean.cif,Eu8H16C56N16O48
ABEYIR_clean.cif,Gd8H16C56N16O48
ABIXOZ_clean.cif,Mo12Co3P8O52
ABIYIV_clean.cif,Co12H112C160N40O32
ABULOB_clean.cif,Be12P16H16O48
ABUWOJ_clean.cif,Zn16H56C96O56
ACAJIY_clean.cif,N144C90H144Zn6
ACAJIZ_clean.cif,Cu8O32N8C88H96
ACAJOF_clean.cif,Cu8H104C92N8O32
ACAKUM_clean.cif,La4H32C72N12O32
ACALIB_clean.cif,Er4H32C72N12O32
ACIBIY_clean.cif,Co36H72C72O144
ACIBOE_clean.cif,Zn12H24C72O52
ACODON_clean.cif,Tb4P4H50C86O32
ACOGAB_clean.cif,Cd2H72C64Br4N24O8
ACOGEF_clean.cif,Cd2H72C64I4N24O8
ACOLEL_clean.cif,Mn10H190C260N50O40
ACOLIP_clean.cif,Zn2H38C44N10O8
ACOLOV_clean.cif,Cd12H160C208O76
ACUBAB_clean.cif,Zn16P12O48Cl2
ACUFEK_clean.cif,Cu24H192C384N48O96
ACUJOZ_manual.cif,Cr18Cu54C648O270H288
ACUTOI_clean.cif,Na8Cd8H72C88S8N8O56
ADABIS_clean.cif,Cu4H28C34N20O8
ADABUE_clean.cif,Cu4H28C34N20O8
ADARAA_clean.cif,Co72H480C1152Br96N96O216
ADASAB_charged.cif,Cu48H264C504N96O176
ADASEF_clean.cif,Cu48H168C360N96O104
