REFCODE,DOI,CCDC
ABAVIJ,10.1039/b404485a,
ABAVOP,10.1039/b404485a,
ABEMIF,10.1039/c1cc14118j,
ABEXEM,10.1021/ic201013v,
ABEXIQ,10.1021/ic201013v,
ABEXOW,10.1021/ic201013v,
ABEXUC,10.1021/ic201013v,
ABEYAJ,10.1021/ic201013v,
ABEYEN,10.1021/ic201013v,
ABEYIR,10.1021/ic201013v,
ABIYIV,-,y
ABUWOJ,10.1107/S1600536801009175,
ac403674p_si_001,10.1021/ac403674p,
ACAJOF,10.1039/c2dt31427d,
ACAKUM,10.1039/c2dt31717f,
ACALIB,10.1039/c2dt31717f,
ACECIV,10.1002/hlca.200490242,
ACENIF,10.1002/1521-3773(20010903)40:17<3211::AID-ANIE3211>3.0.CO;2-X,
ACIBIY,10.1016/j.micromeso.2005.11.049,
ACIBOE,10.1016/j.micromeso.2005.11.049,
ACMPCD,10.1021/ic50190a033,
ACODED,10.1039/c2cc35526d,
ACODON,10.1039/c2cc35526d,
ACOGAB,10.1002/ejic.200501060,
ACOGEF,10.1002/ejic.200501060,
ACOLEL,10.1039/c2jm34349e,
ACOLIP,10.1039/c2jm34349e,
ACOLOV,10.1039/c2jm35273g,
ACOLUB,10.1039/c2jm35273g,
ACUFEK,10.1021/ja058777l,
ACUJOZ,10.1016/j.micromeso.2012.07.036,
ACUTOI,10.1021/ja0606879,
ADABAK,10.1002/anie.201202992,
ADABIS,10.1002/anie.201202992,
ADABUE,10.1002/anie.201202992,
ADARAA,10.1002/anie.201205603,
ADASAB,10.1002/anie.201201202,
ADASEF,10.1002/anie.201201202,
ADASIJ,10.1002/anie.201201202,
ADASOP,10.1002/anie.201201202,
ADASUV,10.1002/anie.201201202,
ADATAC,10.1002/anie.201201202,
ADATEG,10.1002/anie.201201202,
ADATIK,10.1002/anie.201201202,
ADAXEK,10.1002/ejic.201200851,
ADEGIA,10.1107/S1600536806022884,
ADIQEL,10.1039/c2dt31361h,
ADOBAX,10.1016/j.poly.2006.11.050,
ADOBEB,10.1016/j.poly.2006.11.050,
ADOBOL,10.1016/j.poly.2006.11.050,
ADOBUR,10.1016/j.poly.2006.11.050,
ADOCAY,10.1016/j.poly.2006.11.050,
ADOCIG,10.1016/j.poly.2006.11.050,
ADODAA,10.1039/c2cc35606f,
ADODII,10.1039/c2cc35432b,
ADODOO,10.1039/c2cc35432b,
ADODUU,10.1039/c2cc35432b,
ADUROI,10.1002/anie.201302715,
ADUWIH,10.1002/chem.201300144,
AFEDIA,10.1107/S1600536813014876,
AFEJOK,10.1021/ja0113192,
AFIPAH,10.1002/zaac.200800182,
AFITEP,10.1039/b714160b,
AFITIT,10.1039/b714160b,
AFITUF,10.1039/b714160b,
AFIXAO,10.1002/1521-3757(20020415)114:8<1442::AID-ANGE1442>3.0.CO;2-4,
AFIXES,10.1002/1521-3757(20020415)114:8<1442::AID-ANGE1442>3.0.CO;2-4,
AFOQUI,10.1039/b804944k,
AFOTOF,10.1039/b803168a,
AFOTUL,10.1039/b803168a,
AFOVAT,10.1039/b803168a,
