element symbol,atomic_number,group_number,period_number,electronegativity_pauling_scale,electronegativity_Muliken,electron_affinity_eV,melting_point_K,boiling_point_K,density_g/cm^3_at_298_K,ionization_energy_eV,electric_dipole_polarizability_10^-24*cm^3,electrical_conductivity_S/m,thermal_conductivity_W/(mK),electrical_resistivity_m/S
H,1,1,1,2.2,7.1763175,0.754195,13.81,20.28,0.0708,13.59844,0.666793,0,0.1805,0
He,2,18,1,0,12.043705,-0.5,0.95,4.22,0.147,24.58741,0.204956,0,0.1513,0
Li,3,1,2,0.98,3.0048845,0.618049,453.65,1615.15,0.534,5.39172,24.3,11000000,84.8,9.55E-08
Be,4,2,2,1.57,4.41135,-0.5,1560.15,2744.15,1.848,9.3227,5.60,25000000,200,3.76E-08
B,5,13,2,2.04,4.2888765,0.279723,2348.15,4273.15,2.34,8.29803,3.03,0.0001,27.4,1.50E+04
C,6,14,2,2.55,6.2612095,1.262119,3820,5100,2.25,11.2603,1.76,100000,142,1.38E-05
N,7,15,2,3.04,7.23207,-0.07,63.15,74.36,0.808,14.53414,1.10,0,0.02583,0
O,8,16,2,3.44,7.5395848,1.4611096,54.8,90.19,1.149,13.61806,0.802,0,0.149,0
F,9,17,2,3.98,10.4120045,3.401189,53.53,85.03,1.108,17.42282,0.557,0,0.0277,0
Ne,10,18,2,0,10.1823,-1.2,48,27.07,1.204,21.5646,0.3956,0,0.0491,0
Na,11,1,3,0.93,2.843503,0.547926,370.95,1156.15,0.971,5.13908,24.08,21000000,142,4.93E-08
Mg,12,2,3,1.31,3.62312,-0.4,923.15,1363.15,1.738,7.64624,10.6,23000000,156,4.51E-08
Al,13,13,3,1.61,3.2093,0.43283,933.473,2792.15,2.6989,5.98577,6.8,38000000,237,2.73E-08
Si,14,14,3,1.9,4.7706055,1.389521,1687.15,3538.15,2.33,8.15169,5.38,1000,149,1.00E-03
P,15,15,3,2.19,5.616595,0.7465,317.3,553.65,1.82,10.48669,3.63,10000000,0.23617,1.00E-07
S,16,16,3,2.58,6.2185565,2.077103,388.36,717.75,2.07,10.36001,2.90,0,0.205,2.00E+15
Cl,17,17,3,3.16,8.290182,3.612724,171.65,239.11,1.56,12.96764,2.18,0.01,0.0089,1.00E+01
Ar,18,18,3,0,2.12981,-11.5,83.8,87.3,1.4,15.75962,1.6411,0,0.01772,0
K,19,1,4,0.82,2.421065,0.50147,336.53,1032.15,0.856,4.34066,43.4,14000000,102.5,7.47E-08
Ca,20,2,4,1,3.068855,0.02455,1115.15,1757.15,1.55,6.11316,22.8,29000000,201,3.45E-08
Sc,21,3,4,1.36,3.37475,0.188,1814.15,3109.15,2.99,6.5615,17.8,1800000,15.8,5.62E-07
Ti,22,4,4,1.54,3.45355,0.079,1941.15,3560.15,4.54,6.8281,14.6,2500000,21.9,3.90E-07
V,23,5,4,1.63,3.6356,0.525,2183.15,3680.15,6.11,6.7462,12.4,5000000,30.7,2.02E-07
Cr,24,6,4,1.66,3.71625,0.666,2180.15,2944.15,7.18,6.7665,11.6,7900000,93.9,1.27E-07
Mn,25,7,4,1.55,3.21701,-1,1519.15,2334.15,7.21,7.43402,9.4,620000,7.81,1.44E-06
Fe,26,8,4,1.83,4.0267,0.151,1811.15,3134.15,7.874,7.9024,8.4,10000000,80.4,9.98E-08
Co,27,9,4,1.88,4.2715,0.662,1768.15,3200.15,8.9,7.881,7.5,17000000,100,5.60E-08
