id,DOI,chemical_formula,label,f_atomic_number_mean,f_atomic_number_geo_mean,f_atomic_number_stddev,f_atomic_number_max,f_atomic_number_min,f_group_number_mean,f_group_number_geo_mean,f_group_number_stddev,f_group_number_max,f_group_number_min,f_period_number_mean,f_period_number_geo_mean,f_period_number_stddev,f_period_number_max,f_period_number_min,f_electronegativity_pauling_scale_mean,f_electronegativity_pauling_scale_geo_mean,f_electronegativity_pauling_scale_stddev,f_electronegativity_pauling_scale_max,f_electronegativity_pauling_scale_min,f_electronegativity_Muliken_mean,f_electronegativity_Muliken_geo_mean,f_electronegativity_Muliken_stddev,f_electronegativity_Muliken_max,f_electronegativity_Muliken_min,f_electron_affinity_eV_mean,f_electron_affinity_eV_geo_mean,f_electron_affinity_eV_stddev,f_electron_affinity_eV_max,f_electron_affinity_eV_min,f_melting_point_K_mean,f_melting_point_K_geo_mean,f_melting_point_K_stddev,f_melting_point_K_max,f_melting_point_K_min,f_boiling_point_K_mean,f_boiling_point_K_geo_mean,f_boiling_point_K_stddev,f_boiling_point_K_max,f_boiling_point_K_min,f_density_g/cm^3_at_298_K_mean,f_density_g/cm^3_at_298_K_geo_mean,f_density_g/cm^3_at_298_K_stddev,f_density_g/cm^3_at_298_K_max,f_density_g/cm^3_at_298_K_min,f_ionization_energy_eV_mean,f_ionization_energy_eV_geo_mean,f_ionization_energy_eV_stddev,f_ionization_energy_eV_max,f_ionization_energy_eV_min,f_electric_dipole_polarizability_10^-24*cm^3_mean,f_electric_dipole_polarizability_10^-24*cm^3_geo_mean,f_electric_dipole_polarizability_10^-24*cm^3_stddev,f_electric_dipole_polarizability_10^-24*cm^3_max,f_electric_dipole_polarizability_10^-24*cm^3_min,f_electrical_conductivity_S/m_mean,f_electrical_conductivity_S/m_geo_mean,f_electrical_conductivity_S/m_stddev,f_electrical_conductivity_S/m_max,f_electrical_conductivity_S/m_min,f_thermal_conductivity_W/(mK)_mean,f_thermal_conductivity_W/(mK)_geo_mean,f_thermal_conductivity_W/(mK)_stddev,f_thermal_conductivity_W/(mK)_max,f_thermal_conductivity_W/(mK)_min,f_electrical_resistivity_m/S_mean,f_electrical_resistivity_m/S_geo_mean,f_electrical_resistivity_m/S_stddev,f_electrical_resistivity_m/S_max,f_electrical_resistivity_m/S_min,sanity_id,nelements,sanity_chemical_formula,elements,formula_prototype,_oqmd_entry_id,_oqmd_calculation_id,_oqmd_icsd_id,_oqmd_band_gap,_oqmd_delta_e,_oqmd_stability,_oqmd_prototype,_oqmd_spacegroup,_oqmd_natoms,sanity_label,REFCODE,CCDC
TANBOZ_clean.cif,10.1016/S0020-1693(00)81684-9,Cu8C12N12,unknown,12.125,9.42579485336718,9.752403549894764,29.0,6.0,13.625,13.52634333570674,1.5761900266148114,15.0,11.0,2.5,2.378414230005442,0.8660254037844386,4.0,2.0,2.57125,2.530571203810374,0.4418268184481336,3.04,1.9,8.3199623125,8.246738327646737,1.0674530182856974,9.37188,6.6205,12.265794624999998,12.248793914855872,0.6397439906958755,12.772119,11.44,1795.62375,633.3157976383146,1646.288450605919,3820.0,63.15,2649.1725,902.0593122638924,2178.81331794827,5100.0,74.36,3.38675,2.1648345325600853,3.2777409808433613,8.96,0.808,11.60451,11.277718592536448,2.650080705771053,14.53414,7.72638,2.5975,2.013362457088324,2.042264368293194,6.1,1.1,14787500.0,0.0,25526135.503636267,59000000.0,0.0,153.50968625000002,7.285189862884148,155.55232713663398,401.0,0.02583,5.179325e-06,0.0,6.677549503139232e-06,1.38e-05,0.0,TANBOZ_clean.cif,,Cu8C12N12,,,,,,,,,,,,unknown,TANBOZ,
QERZUI_clean.cif,10.1021/cg005519l,Cu2H16C24N4O8,unknown,5.7407407407407405,3.9481973527501153,5.25351799303619,29.0,1.0,10.407407407407408,6.508281876433045,6.177973173923864,16.0,1.0,1.7777777777777777,1.6710335980604352,0.628539361054709,4.0,1.0,2.5903703703703704,2.55697132342131,0.430636750607675,3.44,1.9,8.867521970370369,8.839693319117815,0.678120544660519,9.6793948,6.6205,12.5514232,12.544636560955624,0.4062940769719942,12.9711096,11.44,1764.9537037037037,273.4336971401554,1854.595798518529,3820.0,13.81,2396.5507407407413,390.1506842712477,2473.05227726106,5100.0,20.28,1.582903703703704,0.7130881621221913,1.721406202408364,8.96,0.0708,12.414000740740745,12.30869886987128,1.539098817932888,14.53414,7.72638,1.4060127407407412,1.1882886830352033,1.0462522163596009,6.1,0.666793,2229629.6296296297,0.0,11133693.101799062,59000000.0,0.0,78.04043185185189,3.913550700135192,93.95251118843328,401.0,0.02583,6.1339740740740745e-06,0.0,6.856702789490145e-06,1.38e-05,0.0,QERZUI_clean.cif,,Cu2H16C24N4O8,,,,,,,,,,,,unknown,QERZUI,
HEDGUS_clean.cif,10.1002/(SICI)1521-3773(19990115)38:1/2<140::AID-ANIE140>3.0.CO;2-9,Cu4H16C32N12O16,unknown,6.7,4.917712138659505,5.6488936969994406,29.0,1.0,11.8,8.467564898466962,5.509990925582365,16.0,1.0,1.9,1.8025009252216604,0.6244997998398397,4.0,1.0,2.6990000000000003,2.6593837729197154,0.4667536823636209,3.44,1.9,8.896319259999999,8.862741247277928,0.7408841749354688,9.6793948,6.6205,12.509158520000002,12.49854083290027,0.5065437021849565,12.9711096,11.44,1619.083,272.4692562364014,1819.0503421706064,3820.0,13.81,2215.0055,387.9743794640237,2429.442924918128,5100.0,20.28,1.7131600000000002,0.905046241401335,1.8620244741678345,8.96,0.0708,12.51386,12.385058295567577,1.69289907614128,14.53414,7.72638,1.4677585999999998,1.2283257087740027,1.1594343763645445,6.1,0.666793,2990000.0,0.0,12849665.365292592,59000000.0,0.0,76.9197745,2.746780225888506,100.94062287898508,401.0,0.02583,5.520865e-06,0.0,6.759886435161097e-06,1.38e-05,0.0,HEDGUS_clean.cif,,Cu4H16C32N12O16,,,,,,,,,,,,unknown,HEDGUS,
QIGBIR_clean.cif,10.1039/b008040n,Mn8Re24C24S32N24,unknown,25.214285714285715,15.614393300995037,26.563074723674408,75.0,6.0,12.785714285714286,12.1090280137901,3.725943244498564,16.0,7.0,3.2857142857142856,2.985961442286502,1.5319721849662298,6.0,2.0,2.4528571428571424,2.407256287919265,0.4519233274323765,3.04,1.55,7.893118892857144,7.773435226978615,1.307724166332285,9.37188,5.35682,12.319626357142855,12.278981398352856,0.9979097034155668,13.587103,10.51,1792.8207142857148,756.4293208209999,1638.7831946271435,3820.0,63.15,2738.262857142857,1147.1109328622358,2448.368279100618,5869.15,74.36,6.265999999999999,3.0946168578772406,7.847257974240792,21.02,0.808,10.696991428571431,10.430633955515184,2.4027221924691324,14.53414,7.43402,4.191428571428571,2.9823159450543937,3.4973435983468875,9.7,1.1,1265714.2857142857,0.0,2268825.102765477,5600000.0,0.0,41.3362492857143,2.230132172476279,55.76965965431684,142.0,0.02583,571428571428571.4,0.0,903507902905251.2,2000000000000000.0,0.0,QIGBIR_clean.cif,,Mn8Re24C24S32N24,,,,,,,,,,,,unknown,QIGBIR,
TOFTIT_clean.cif,10.1016/j.inoche.2014.04.027,Cu24H128C288N80O112,unknown,6.341772151898734,4.754998343120496,5.086308442115796,29.0,1.0,11.734177215189874,8.396405680311496,5.501918792473633,16.0,1.0,1.873417721518988,1.784404928552822,0.5817278629405599,4.0,1.0,2.6741772151898737,2.638793282996374,0.4429435704121462,3.44,1.9,8.868184420253165,8.839176568661731,0.6933081433890123,9.6793948,6.6205,12.534859979746836,12.525441630733544,0.4771050797179126,12.9711096,11.44,1812.8224050632912,329.8069063387331,1853.22951316789,3820.0,13.81,2461.217594936709,466.3596017968352,2470.3308047397445,5100.0,20.28,1.6858075949367088,0.9177337834259776,1.6826464377202648,8.96,0.0708,12.431888860759496,12.31957380997216,1.597093358721833,14.53414,7.72638,1.450084658227848,1.2425454383431156,1.0387758539876244,6.1,0.666793,2286075.9493670887,0.0,11268020.550809806,59000000.0,0.0,80.00294050632911,3.8153593745102095,94.3110038337883,401.0,0.02583,6.289264556962026e-06,0.0,6.872259272474437e-06,1.38e-05,0.0,TOFTIT_clean.cif,,Cu24H128C288N80O112,,,,,,,,,,,,unknown,TOFTIT,
BEXSII_clean.cif,10.1039/C3CE27023H,Cu6H32C60N4O28,unknown,6.292307692307692,4.437687634187412,5.601436840182725,29.0,1.0,11.123076923076924,7.457320194841133,5.884811459780148,16.0,1.0,1.8461538461538465,1.7411011265922482,0.6380443493331607,4.0,1.0,2.640615384615385,2.601430469480092,0.4684405451908472,3.44,1.9,8.849314033846152,8.817022667837882,0.7297116409854003,9.6793948,6.6205,12.647711144615386,12.643181769779858,0.3334531036192945,12.9711096,11.44,1842.888769230769,322.4168546682232,1850.5722688987173,3820.0,13.81,2511.4047692307686,468.7771261508017,2463.8329759731355,5100.0,20.28,1.7417661538461542,0.8581690416634304,1.820375436701656,8.96,0.0708,12.281296923076924,12.172050968299898,1.5513785501922752,14.53414,7.72638,1.4645644307692307,1.2214297708529462,1.1345956874299248,6.1,0.666793,2769230.769230769,0.0,12369216.417902123,59000000.0,0.0,84.1234716923077,5.052976897286934,98.24103260001009,401.0,0.02583,6.370029230769231e-06,0.0,6.878817196867117e-06,1.38e-05,0.0,BEXSII_clean.cif,,Cu6H32C60N4O28,,,,,,,,,,,,unknown,BEXSII,
FATLUJ_clean.cif,10.1021/cg201594p,Cu4H52C56N10O20,unknown,5.169014084507042,3.4259465146414505,4.898938992610825,29.0,1.0,9.507042253521126,5.41685052938909,6.525946565493731,16.0,1.0,1.6901408450704225,1.5822437083294234,0.6187572573658815,4.0,1.0,2.563380281690141,2.5301655242514087,0.4301782914421526,3.44,1.9,8.934397309859152,8.909854667268966,0.6387691608467162,9.6793948,6.6205,12.519570394366196,12.512958010951692,0.4015703064300421,12.9711096,11.44,1561.9485915492955,195.03590576430383,1835.148555944159,3820.0,13.81,2116.496901408451,278.74013116616754,2450.7174436798286,5100.0,20.28,1.3843774647887324,0.5579243657720288,1.6047389771686476,8.96,0.0708,12.579604225352114,12.484829814889483,1.46660954132039,14.53414,7.72638,1.3005157464788737,1.1063901127065294,0.9576199210783204,6.1,0.666793,1701408.450704225,0.0,9755280.158663468,59000000.0,0.0,67.38467816901411,2.6397753205756227,89.11187287081071,401.0,0.02583,5.442740845070423e-06,0.0,6.743862329233569e-06,1.38e-05,0.0,FATLUJ_clean.cif,,Cu4H52C56N10O20,,,,,,,,,,,,unknown,FATLUJ,
UZUNAF_clean.cif,10.1021/cg2004672,Cu4H44C44N8O16,unknown,5.241379310344827,3.376253876718314,5.269660542713736,29.0,1.0,9.310344827586206,5.22208059079325,6.560611032706729,16.0,1.0,1.6896551724137931,1.5748041437985787,0.6487892318009234,4.0,1.0,2.5513793103448275,2.517742099190755,0.4322572999557573,3.44,1.9,8.930015731034484,8.903440969074778,0.6614701324790359,9.6793948,6.6205,12.51409973793104,12.507577071115396,0.3989389796574052,12.9711096,11.44,1512.93724137931,183.32636087262003,1819.4507646139969,3820.0,13.81,2057.5072413793105,262.9622278763645,2431.32892529976,5100.0,20.28,1.4034758620689656,0.5397156092834485,1.7169357294530665,8.96,0.0708,12.576311724137932,12.47447424719391,1.509418048392912,14.53414,7.72638,1.3173352758620689,1.1042849438154962,1.0312590783124218,6.1,0.666793,2072413.7931034483,0.0,10758409.591209266,59000000.0,0.0,67.78045379310346,2.5151912347509056,92.7313399661394,401.0,0.02583,5.235079310344828e-06,0.0,6.695507225275011e-06,1.38e-05,0.0,UZUNAF_clean.cif,,Cu4H44C44N8O16,,,,,,,,,,,,unknown,UZUNAF,
UHUPET_clean.cif,10.1126/science.1175441,Zn32C622O152,unknown,7.330024813895782,6.752484067307043,4.674811523317341,30.0,6.0,14.297766749379653,14.26942736691388,0.9080122949212436,16.0,12.0,2.079404466501241,2.0558032995675304,0.3905174307276625,4.0,2.0,2.68210918114144,2.651879576845091,0.4050736145946422,3.44,1.65,8.568093372952852,8.542935549125108,0.6467167584917904,9.6793948,6.53691,12.735715480397026,12.72951927487422,0.3792218892996787,12.9711096,10.91,2985.7758808933,1603.268755930585,1538.145174731818,3820.0,54.8,3999.595136476427,2248.3011634730965,2032.806296678693,5100.0,90.19,2.2362332506203475,2.0750847249361404,1.0840026943581764,7.133,1.149,11.630851265508689,11.5876777771712,1.0243541753209218,13.61806,9.3942,1.7377468982630275,1.5905754897917612,0.897020292369209,5.75,0.802,752109.1811414392,0.0,3303936.184410971,17000000.0,0.0,114.21668486352355,38.63540836955741,55.223095769970186,142.0,0.149,1.0652033746898263e-05,0.0,5.78784816485428e-06,1.38e-05,0.0,UHUPET_clean.cif,,Zn32C622O152,,,,,,,,,,,,unknown,UHUPET,
EZOBUR_clean.cif,10.1021/ic200362c,Cu12H148C208N24O48F108,unknown,5.963503649635037,4.281113587095034,4.527948503621318,29.0,1.0,11.233576642335766,7.199563417659912,6.352495657317897,17.0,1.0,1.7737226277372262,1.6839214208658904,0.553590809514118,4.0,1.0,2.8224817518248178,2.749546902348035,0.671561836886146,3.98,1.9,9.58170978540146,9.462985713138456,1.5752774218534638,12.5518145,6.6205,13.015005994160584,12.978651473974931,0.9968186357651369,14.911189,11.44,1501.504306569343,203.22433358402773,1823.6308253686484,3820.0,13.81,2031.241313868613,294.6811720084193,2434.1270249551994,5100.0,20.28,1.423734306569343,0.7144306121571202,1.4282988125298417,8.96,0.0708,13.378793576642336,13.168735797348724,2.3880315067098743,17.42282,7.72638,1.209885700729927,1.014335031958378,0.90403491902393,6.1,0.557,1329927.00729927,0.0,8629100.019582387,59000000.0,0.0,62.74722175182482,1.6757318292366832,85.07335610307472,401.0,0.02583,5.23833503649635e-06,0.0,6.696540018520636e-06,1.38e-05,0.0,EZOBUR_clean.cif,,Cu12H148C208N24O48F108,,,,,,,,,,,,unknown,EZOBUR,
