id,chemical_formula,DOI,REFCODE,model_pred
TANBOZ_clean.cif,Cu8C12N12,10.1016/S0020-1693(00)81684-9,TANBOZ,1.4701334
QERZUI_clean.cif,Cu2H16C24N4O8,10.1021/cg005519l,QERZUI,1.7450291
HEDGUS_clean.cif,Cu4H16C32N12O16,10.1002/(SICI)1521-3773(19990115)38:1/2<140::AID-ANIE140>3.0.CO;2-9,HEDGUS,2.0257955
QIGBIR_clean.cif,Mn8Re24C24S32N24,10.1039/b008040n,QIGBIR,1.3513854
TOFTIT_clean.cif,Cu24H128C288N80O112,10.1016/j.inoche.2014.04.027,TOFTIT,2.1358924
BEXSII_clean.cif,Cu6H32C60N4O28,10.1039/C3CE27023H,BEXSII,1.6720339
FATLUJ_clean.cif,Cu4H52C56N10O20,10.1021/cg201594p,FATLUJ,1.7599396
UZUNAF_clean.cif,Cu4H44C44N8O16,10.1021/cg2004672,UZUNAF,1.7041602
UHUPET_clean.cif,Zn32C622O152,10.1126/science.1175441,UHUPET,1.4272494
EZOBUR_clean.cif,Cu12H148C208N24O48F108,10.1021/ic200362c,EZOBUR,2.3148878
ICAGOK_clean.cif,Cu8H96C144N24O24,10.1021/ic2008842,ICAGOK,1.6718063
YOCLIN_clean.cif,Cu12H24C72O48,10.1039/c3nr04161a,YOCLIN,1.5837772
cg901128k_si_004_clean.cif,Cu10H30C30N60,10.1021/cg901128k,cg901128k_si_004,1.8487003
NIJSAC_clean.cif,Cu4H52C64N28O32,10.1039/C3CC45310C,NIJSAC,2.2461634
MURCAD_clean.cif,Cu4H28C32N8O16,10.1021/ic0258577,MURCAD,1.6951945
XAMDUM03_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM03,1.5837772
SODQOT_clean.cif,Cu8H16C36O28,10.1039/C4CE00408F,SODQOT,1.5248556
WEMDUP_clean.cif,Eu4C16O32,10.1039/c3ce26684b,WEMDUP,4.841267
BAHGUN04_clean.cif,Cu2H16C24N4O8,10.1016/S0020-1693(03)00215-9,BAHGUN04,1.7450291
CELKEL_clean.cif,Cu8H112C128N16O48,10.1016/j.jssc.2009.11.003,CELKEL,1.7534907
AHOKIR01_clean.cif,Cu2P2H8C4O6,10.1016/S0277-5387(03)00372-3,AHOKIR01,1.4461997
ACUFEK_clean.cif,Cu24H192C384N48O96,10.1021/ja058777l,ACUFEK,1.6493955
OGIKAR_clean.cif,Cu24H232C424N56O96,10.1039/b903932e,OGIKAR,1.660499
RIBTAZ_clean.cif,Cu16H52C104N24O48,10.1039/C3CE40599K,RIBTAZ,1.7506543
DEJCIF_clean.cif,Cu4H12C28N4O16,10.1021/cg060087l,DEJCIF,1.7663487
VIXPUP01_clean.cif,Cu24H96C216N24O120,10.1002/chem.201304005,VIXPUP01,1.7860471
DOKHOB_clean.cif,Cu6H68C88N8O24,10.1039/b808373h,DOKHOB,1.6461163
EDAVOV_clean.cif,Cu6H42C54N6O18,10.1016/j.ica.2007.02.019,EDAVOV,1.623661
PUJQEQ_clean.cif,Cu8H192C192N32,10.1039/A708943K,PUJQEQ,1.5713189
BAHGUN03_clean.cif,Cu2H16C24N4O8,10.1016/S0020-1693(03)00215-9,BAHGUN03,1.7450291
CITXUZ_clean.cif,Cu8H60C84N12O32,10.1039/b712905j,CITXUZ,1.7134618
KILJEV_clean.cif,Cu4P4H16C20N4O12,10.1021/ic070132u,KILJEV,1.6017613
EFOTEZ_clean.cif,Mn8Re24C24Se32N24,-,EFOTEZ,1.2654856
UFUQIV_clean.cif,Cu8H128C160N32,10.1039/b202588d,UFUQIV,1.5607417
GIFFEI_clean.cif,Eu8C32N24O32,10.1002/zaac.201200234,GIFFEI,4.599579
IXAKAU_clean.cif,Cu8H56C104N8O32,10.1021/ic102188v,IXAKAU,1.6148138
PELRIJ_clean.cif,Cu24H288C480N48O144,10.1039/c2ce26015h,PELRIJ,1.7015738
JOFKIA_clean.cif,Cu6H12C18N24O12,10.1039/C3CE42087F,JOFKIA,2.0576813
TUBJAD_clean.cif,Cu4H56C80N12O20,10.1016/j.ica.2014.12.001,TUBJAD,1.736084
cm501138g_si_012_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_012,1.5837772
ja203898s_si_006_clean.cif,Cu6H78C120N18O30,10.1021/ja203898s,ja203898s_si_006,1.7348115
LAZXOB_clean.cif,Cu12H32C88O48,10.1021/cg300518k,LAZXOB,1.5782669
AMAGAX_clean.cif,Cu12H72C120N48O48,10.1021/ic1012523,AMAGAX,2.0223918
DOLXOR02_clean.cif,Cu10C12N12,10.1016/j.inoche.2005.05.024,DOLXOR02,1.4077606
XASFAY_clean.cif,Cu4H96C96N16,10.1039/B003092I,XASFAY,1.5713189
